Title,Occupation
avionic technician,"Installation, Maintenance, and Repair"
"electric motor , power tool , and related repairer","Installation, Maintenance, and Repair"
"electrical and electronic installer and repairer , transportation equipment","Installation, Maintenance, and Repair"
"electrical and electronic repairer , commercial and industrial equipment","Installation, Maintenance, and Repair"
"electrical and electronic repairer , powerhouse , substation , and relay","Installation, Maintenance, and Repair"
"electronic equipment installer and repairer , motor vehicle","Installation, Maintenance, and Repair"
audio - visual equipment installer and repairer,"Installation, Maintenance, and Repair"
security and fire alarm system installer,"Installation, Maintenance, and Repair"
aircraft mechanic and service technician,"Installation, Maintenance, and Repair"
automotive body and related repairer,"Installation, Maintenance, and Repair"
automotive glass installer and repairer,"Installation, Maintenance, and Repair"
automotive service technician and mechanic,"Installation, Maintenance, and Repair"
bus and truck mechanic and diesel engine specialist,"Installation, Maintenance, and Repair"
farm equipment mechanic and service technician,"Installation, Maintenance, and Repair"
"mobile heavy equipment mechanic , except engine","Installation, Maintenance, and Repair"
rail car repairer,"Installation, Maintenance, and Repair"
motorboat mechanic and service technician,"Installation, Maintenance, and Repair"
motorcycle mechanic,"Installation, Maintenance, and Repair"
outdoor power equipment and other small engine mechanic,"Installation, Maintenance, and Repair"
bicycle repairer,"Installation, Maintenance, and Repair"
recreational vehicle service technician,"Installation, Maintenance, and Repair"
tire repairer and changer,"Installation, Maintenance, and Repair"
mechanical door repairer,"Installation, Maintenance, and Repair"
"control and valve installer and repairer , except mechanical door","Installation, Maintenance, and Repair"
"heating , air conditioning , and refrigeration mechanic and installer","Installation, Maintenance, and Repair"
home appliance repairer,"Installation, Maintenance, and Repair"
industrial machinery mechanic,"Installation, Maintenance, and Repair"
"maintenance worker , machinery","Installation, Maintenance, and Repair"
millwright,"Installation, Maintenance, and Repair"
"refractory material repairer , except brickmason","Installation, Maintenance, and Repair"
electrical power - line installer and repairer,"Installation, Maintenance, and Repair"
telecommunications line installer and repairer,"Installation, Maintenance, and Repair"
camera and photographic equipment repairer,"Installation, Maintenance, and Repair"
medical equipment repairer,"Installation, Maintenance, and Repair"
musical instrument repairer and tuner,"Installation, Maintenance, and Repair"
watch and clock repairer,"Installation, Maintenance, and Repair"
"precision instrument and equipment repairer , all other","Installation, Maintenance, and Repair"
"maintenance and repair worker , general","Installation, Maintenance, and Repair"
wind turbine service technician,"Installation, Maintenance, and Repair"
"coin , vending , and amusement machine servicer and repairer","Installation, Maintenance, and Repair"
commercial diver,"Installation, Maintenance, and Repair"
locksmith and safe repairer,"Installation, Maintenance, and Repair"
manufacture building and mobile home installer,"Installation, Maintenance, and Repair"
rigger,"Installation, Maintenance, and Repair"
signal and track switch repairer,"Installation, Maintenance, and Repair"
"helper -- installation , maintenance , and repair worker","Installation, Maintenance, and Repair"
"installation , maintenance , and repair worker , all other","Installation, Maintenance, and Repair"
first - line supervisor of production and operate worker,Production
"aircraft structure , surface , rigging , and system assembler",Production
"coil winder , taper , and finisher",Production
electrical and electronic equipment assembler,Production
electromechanical equipment assembler,Production
engine and other machine assembler,Production
structural metal fabricator and fitter,Production
fiberglass laminator and fabricator,Production
time device assembler and adjuster,Production
team assembler,Production
"assembler and fabricator , all other",Production
baker,Production
butcher and meat cutter,Production
"meat , poultry , and fish cutter and trimmer",Production
slaughterer and meat packer,Production
"food and tobacco roasting , baking , and dry machine operator and tender",Production
food batchmaker,Production
food cooking machine operator and tender,Production
"food processing worker , all other",Production
"extrude and draw machine setter , operator , and tender , metal and plastic",Production
"forge machine setter , operator , and tender , metal and plastic",Production
"roll machine setter , operator , and tender , metal and plastic",Production
"cutting , punching , and press machine setter , operator , and tender , metal and plastic",Production
"drill and boring machine tool setter , operator , and tender , metal and plastic",Production
"grind , lapping , polishing , and buff machine tool setter , operator , and tender , metal and plastic",Production
"lathe and turn machine tool setter , operator , and tender , metal and plastic",Production
"milling and planing machine setter , operator , and tender , metal and plastic",Production
machinist,Production
metal - refining furnace operator and tender,Production
"pourer and caster , metal",Production
"model maker , metal and plastic",Production
"patternmaker , metal and plastic",Production
foundry mold and coremaker,Production
"molding , coremaking , and cast machine setter , operator , and tender , metal and plastic",Production
"multiple machine tool setter , operator , and tender , metal and plastic",Production
tool and die maker,Production
"welder , cutter , solderer , and brazer",Production
"welding , soldering , and braze machine setter , operator , and tender",Production
"heat treat equipment setter , operator , and tender , metal and plastic",Production
"layout worker , metal and plastic",Production
"plate machine setter , operator , and tender , metal and plastic",Production
"tool grinder , filer , and sharpener",Production
"metal worker and plastic worker , all other",Production
prepress technician and worker,Production
print press operator,Production
print bind and finish worker,Production
laundry and dry - clean worker,Production
"presser , textile , garment , and related material",Production
sewing machine operator,Production
shoe and leather worker and repairer,Production
shoe machine operator and tender,Production
"sewer , hand",Production
"tailor , dressmaker , and custom sewer",Production
textile bleaching and dyeing machine operator and tender,Production
"textile cut machine setter , operator , and tender",Production
"textile knitting and weave machine setter , operator , and tender",Production
"textile winding , twisting , and draw out machine setter , operator , and tender",Production
"extrude and form machine setter , operator , and tender , synthetic and glass fiber",Production
fabric and apparel patternmaker,Production
upholsterer,Production
"textile , apparel , and furnishing worker , all other",Production
cabinetmaker and bench carpenter,Production
furniture finisher,Production
"model maker , wood",Production
"patternmaker , wood",Production
"saw machine setter , operator , and tender , wood",Production
"woodworke machine setter , operator , and tender , except saw",Production
"woodworker , all other",Production
nuclear power reactor operator,Production
power distributor and dispatcher,Production
power plant operator,Production
stationary engineer and boiler operator,Production
water and wastewater treatment plant and system operator,Production
chemical plant and system operator,Production
gas plant operator,Production
"petroleum pump system operator , refinery operator , and gauger",Production
"plant and system operator , all other",Production
chemical equipment operator and tender,Production
"separate , filter , clarify , precipitating , and still machine setter , operator , and tender",Production
"crush , grinding , and polish machine setter , operator , and tender",Production
"grind and polish worker , hand",Production
"mix and blend machine setter , operator , and tender",Production
"cutter and trimmer , hand",Production
"cutting and slice machine setter , operator , and tender",Production
"extruding , form , press , and compact machine setter , operator , and tender",Production
"furnace , kiln , oven , dry , and kettle operator and tender",Production
"inspector , tester , sorter , sampler , and weigher",Production
jeweler and precious stone and metal worker,Production
dental laboratory technician,Production
medical appliance technician,Production
ophthalmic laboratory technician,Production
packaging and fill machine operator and tender,Production
"painting , coating , and decorate worker",Production
"coating , painting , and spray machine setter , operator , and tender",Production
semiconductor processing technician,Production
photographic process worker and processing machine operator,Production
computer numerically control tool operator,Production
computer numerically control tool programmer,Production
adhesive bonding machine operator and tender,Production
"cleaning , washing , and metal pickling equipment operator and tender",Production
cool and freezing equipment operator and tender,Production
etcher and engraver,Production
"molder , shaper , and caster , except metal and plastic",Production
"paper good machine setter , operator , and tender",Production
tire builder,Production
helper -- production worker,Production
aircraft cargo handle supervisor,Transportation and Material Moving
"first - line supervisor of helper , laborer , and material mover , hand",Transportation and Material Moving
first - line supervisor of material - move machine and vehicle operator,Transportation and Material Moving
first - line supervisor of passenger attendant,Transportation and Material Moving
"first line supervisor of transportation worker , all other",Transportation and Material Moving
"airline pilot , copilot , and flight engineer",Transportation and Material Moving
commercial pilot,Transportation and Material Moving
air traffic controller,Transportation and Material Moving
airfield operation specialist,Transportation and Material Moving
flight attendant,Transportation and Material Moving
"ambulance driver and attendant , except emergency medical technician",Transportation and Material Moving
driver / sale worker,Transportation and Material Moving
heavy and tractor - trailer truck driver,Transportation and Material Moving
light truck driver,Transportation and Material Moving
"bus driver , school",Transportation and Material Moving
"bus driver , transit and intercity",Transportation and Material Moving
shuttle driver and chauffeur,Transportation and Material Moving
taxi driver,Transportation and Material Moving
"motor vehicle operator , all other",Transportation and Material Moving
locomotive engineer,Transportation and Material Moving
"rail yard engineer , dinkey operator , and hostler",Transportation and Material Moving
"railroad brake , signal , and switch operator and locomotive firer",Transportation and Material Moving
railroad conductor and yardmaster,Transportation and Material Moving
subway and streetcar operator,Transportation and Material Moving
"rail transportation worker , all other",Transportation and Material Moving
sailor and marine oiler,Transportation and Material Moving
"captain , mate , and pilot of water vessel",Transportation and Material Moving
motorboat operator,Transportation and Material Moving
ship engineer,Transportation and Material Moving
bridge and lock tender,Transportation and Material Moving
parking attendant,Transportation and Material Moving
automotive and watercraft service attendant,Transportation and Material Moving
aircraft service attendant,Transportation and Material Moving
traffic technician,Transportation and Material Moving
transportation inspector,Transportation and Material Moving
passenger attendant,Transportation and Material Moving
"transportation worker , all other",Transportation and Material Moving
conveyor operator and tender,Transportation and Material Moving
crane and tower operator,Transportation and Material Moving
dredge operator,Transportation and Material Moving
hoist and winch operator,Transportation and Material Moving
industrial truck and tractor operator,Transportation and Material Moving
cleaner of vehicle and equipment,Transportation and Material Moving
"laborer and freight , stock , and material mover , hand",Transportation and Material Moving
machine feeder and offbearer,Transportation and Material Moving
"packer and packager , hand",Transportation and Material Moving
stocker and order filler,Transportation and Material Moving
gas compressor and gas pumping station operator,Transportation and Material Moving
"pump operator , except wellhead pumper",Transportation and Material Moving
wellhead pumper,Transportation and Material Moving
refuse and recyclable material collector,Transportation and Material Moving
"tank car , truck , and ship loader",Transportation and Material Moving
"material move worker , all other",Transportation and Material Moving
air crew officer,Military Specific
aircraft launch and recovery officer,Military Specific
armored assault vehicle officer,Military Specific
artillery and missile officer,Military Specific
command and control center officer,Military Specific
infantry officer,Military Specific
special force officer,Military Specific
"military officer special and tactical operation leader , all other",Military Specific
first - line supervisor of air crew member,Military Specific
first - line supervisor of weapon specialist / crew member,Military Specific
first - line supervisor of all other tactical operation specialist,Military Specific
air crew member,Military Specific
aircraft launch and recovery specialist,Military Specific
armored assault vehicle crew member,Military Specific
artillery and missile crew member,Military Specific
command and control center specialist,Military Specific
infantry,Military Specific
special force,Military Specific
"military enlist tactical operation and air / weapon specialist and crew member , all other",Military Specific
